"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime_EST","shift","river","tagID","source","airTemp","cloud","precip","startTime_EST","endTime_EST","isoID","streamNotes","isoTime_EST","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain"
"Run","Center",NA,"Fully shaded","","","Pebble",NA,-72.3733698333333,42.44442,"2024-07-16 06:45:00","day","DICKEY",38,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Riffle","Right",NA,"Mostly shaded","","","Rock",NA,-72.3711106666667,42.4439998333333,"2024-07-16 06:58:00","day","DICKEY",31,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Pool","",NA,"","","","Rock,Pebble,Sand",NA,-72.3705273333333,42.4436538333333,"2024-07-16 07:01:00","day","DICKEY",28,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Riffle","Center",NA,"Mostly shaded","","","Rock",NA,-72.3703661666667,42.4435543333333,"2024-07-16 07:03:00","day","DICKEY",26,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Riffle","Center",NA,"Mostly shaded","","","Rock,Pebble",NA,-72.370253,42.4435183333333,"2024-07-16 07:05:00","day","DICKEY",37,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Run","Right",NA,"Mostly shaded","","","Rock",NA,-72.3734206666667,42.4443373333333,"2024-07-16 08:22:00","day","DICKEY",38,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Pool","Center",NA,"Fully sunny","","","Rock,Sand,Pebble,Granule",NA,-72.3734171666667,42.4440241666667,"2024-07-16 08:29:00","day","DICKEY",32,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Riffle","Right",NA,"Fully shaded","","","Rock",NA,-72.3712305,42.443949,"2024-07-16 08:44:00","day","DICKEY",31,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Pool","Center",NA,"Mostly shaded","","","Rock,Pebble",NA,-72.3706298333333,42.4437616666667,"2024-07-16 08:47:00","day","DICKEY",28,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Run","Center",NA,"Mostly shaded","","","Rock,Pebble",NA,-72.3703635,42.4436478333333,"2024-07-16 08:49:00","day","DICKEY",26,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Run","Center",NA,"Mostly shaded","","","Boulder,Rock",NA,-72.370287,42.4435653333333,"2024-07-16 08:49:00","day","DICKEY",37,"iPad",70,"Cloudy","No rain","03:35","08:55","DCKY202407160347EST","","03:47","42.4422631.N 72.3733436 W",70,"42.4374180 N 72.346902 W",75
"Run","Right",NA,"Mostly shaded","","","Rock",NA,-72.3713838333333,42.4441271666667,"2024-07-16 13:13:00","night","DICKEY",31,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Right",NA,"Lightly shaded","","Woody_debris","Rock,Pebble",NA,-72.3703773333333,42.443656,"2024-07-16 13:17:00","night","DICKEY",28,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Center",NA,"Fully shaded","","","Rock",NA,-72.370396,42.4436118333333,"2024-07-16 13:20:00","night","DICKEY",37,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Center",NA,"Lightly shaded","","","Rock",NA,-72.3703706666667,42.4435081666667,"2024-07-16 13:48:00","night","DICKEY",26,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Center",NA,"Mostly shaded","","","Rock,Pebble",NA,-72.3733926666667,42.4444983333333,"2024-07-16 14:00:00","night","DICKEY",38,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Center",NA,"Mostly shaded","","","Pebble,Rock",NA,-72.3734371666667,42.4439691666667,"2024-07-16 14:15:00","night","DICKEY",32,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.3711683333333,42.4440083333333,"2024-07-16 14:27:00","night","DICKEY",31,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Center",NA,"Mostly shaded","","","Rock",NA,-72.3704935,42.4436633333333,"2024-07-16 14:31:00","night","DICKEY",28,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Right",NA,"Lightly shaded","","","Rock",NA,-72.3704095,42.4436326666667,"2024-07-16 14:33:00","night","DICKEY",26,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.3703806666667,42.443525,"2024-07-16 14:33:00","night","DICKEY",37,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Center",NA,"Mostly shaded","","Root_bundle","Rock,Pebble",NA,-72.3733738333333,42.4444013333333,"2024-07-16 14:48:00","night","DICKEY",38,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Left",NA,"Mostly shaded","","","Rock,Pebble",NA,-72.373439,42.4439293333333,"2024-07-16 14:51:00","night","DICKEY",32,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Right",NA,"Mostly shaded","","","Granule,Rock",NA,-72.3711341666667,42.443992,"2024-07-16 15:20:00","night","DICKEY",31,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Right",NA,"Mostly shaded","","","Pebble,Rock",NA,-72.3705195,42.4436748333333,"2024-07-16 15:23:00","night","DICKEY",28,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Center",NA,"Fully shaded","","","Rock,Sand",NA,-72.3701166666667,42.443524,"2024-07-16 15:25:00","night","DICKEY",26,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Left",NA,"Mostly shaded","","","Pebble,Rock,Granule",NA,-72.3702846666667,42.4435405,"2024-07-16 15:26:00","night","DICKEY",37,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Right",NA,"Fully shaded","","","Pebble,Rock",NA,-72.3733441666667,42.444485,"2024-07-16 15:37:00","night","DICKEY",38,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Left",NA,"Mostly shaded","","","Pebble,Rock",NA,-72.3732255,42.4440446666667,"2024-07-16 15:39:00","night","DICKEY",32,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Right",NA,"Fully sunny","","","Rock",NA,-72.3711415,42.4440201666667,"2024-07-16 16:07:00","night","DICKEY",31,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Right",NA,"Lightly shaded","","","Rock,Mud",NA,-72.370765,42.4436201666667,"2024-07-16 16:08:00","night","DICKEY",28,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.3703148333333,42.4437193333333,"2024-07-16 16:10:00","night","DICKEY",26,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Left",NA,"Mostly shaded","","","Rock,Pebble",NA,-72.3703026666667,42.4435918333333,"2024-07-16 16:11:00","night","DICKEY",37,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Center",NA,"Fully shaded","","Root_bundle,Woody_debris","Rock",NA,-72.3734076666667,42.4444506666667,"2024-07-16 16:24:00","night","DICKEY",38,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Left",NA,"Fully sunny","Hasn’t moved, getting 208 on the bank, might be dead ","","Rock",NA,-72.3734158333333,42.4439681666667,"2024-07-16 16:43:00","night","DICKEY",32,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Right",NA,"Lightly shaded","","","Rock",NA,-72.3711831666667,42.4438806666667,"2024-07-16 17:11:00","night","DICKEY",31,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Pool","Right",NA,"Mostly shaded","","","Rock,Mud",NA,-72.3705755,42.443722,"2024-07-16 17:13:00","night","DICKEY",28,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.3705018333333,42.4435671666667,"2024-07-16 17:14:00","night","DICKEY",26,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.370445,42.4435591666667,"2024-07-16 17:14:00","night","DICKEY",37,"iPad",85,"Mostly sunny/mostly clear","No rain","13:13","18:08","DCKY202407161444EST","","14:44","Lat: 42.27 +/-7.6 N Long: 72.22 +/-7.6 W",80,"42.4430367 LAT. 72.3700836 LON",80
"Riffle","",NA,"Night","","","Rock",NA,-72.4585318333333,42.3821171666667,"2024-07-17 03:53:00","day","BUFFAM",60,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Center",NA,"Night","","","Rock,Sand,Pebble",NA,-72.45984,42.3812781666667,"2024-07-17 04:02:00","day","BUFFAM",62,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Center",NA,"Night","","","Rock",NA,-72.4599876666667,42.3813483333333,"2024-07-17 04:11:00","day","BUFFAM",14,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Center",NA,"Night","","","Rock,Pebble",NA,-72.4599333333333,42.3814011666667,"2024-07-17 04:13:00","day","BUFFAM",18,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Center",NA,"Night","","","Rock",NA,-72.459979,42.3813353333333,"2024-07-17 04:17:00","day","BUFFAM",19,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"","Left",NA,"Night","","","Rock",NA,-72.4604381666667,42.3813011666667,"2024-07-17 04:26:00","day","BUFFAM",56,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Center",NA,"Night","","","Rock",NA,-72.4603236666667,42.3812051666667,"2024-07-17 04:33:00","day","HARRIS",20,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Center",NA,"Mostly shaded","","","Rock",NA,-72.4601788333333,42.3811248333333,"2024-07-17 05:03:00","day","HARRIS",20,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Left",NA,"Mostly shaded","","","Rock",NA,-72.4602836666667,42.3812515,"2024-07-17 05:07:00","day","BUFFAM",56,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Right",NA,"Mostly shaded","","","Rock",NA,-72.4600045,42.381093,"2024-07-17 05:10:00","day","BUFFAM",14,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Center",NA,"Mostly shaded","","","Rock",NA,-72.459872,42.3812508333333,"2024-07-17 05:16:00","day","BUFFAM",19,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Center",NA,"Mostly shaded","","","Rock",NA,-72.459826,42.3811511666667,"2024-07-17 05:17:00","day","BUFFAM",18,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Center",NA,"Mostly shaded","","","Rock,Sand,Mud",NA,-72.4595918333333,42.3810628333333,"2024-07-17 05:25:00","day","BUFFAM",57,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Center",NA,"Mostly shaded","","","Rock,Mud,Sand",NA,-72.4595568333333,42.3811168333333,"2024-07-17 05:26:00","day","BUFFAM",62,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.4583506666667,42.3820425,"2024-07-17 05:34:00","day","BUFFAM",60,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Run","Center",NA,"Fully shaded","","","Boulder,Rock",NA,-72.45852,42.3820656666667,"2024-07-17 06:47:00","day","BUFFAM",60,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Center",NA,"Fully shaded","","","Rock",NA,-72.4595251666667,42.381194,"2024-07-17 06:58:00","day","BUFFAM",57,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Center",NA,"Fully shaded","","","Rock",NA,-72.4595856666667,42.3811145,"2024-07-17 06:58:00","day","BUFFAM",62,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Center",NA,"Fully shaded","","","Rock",NA,-72.4599528333333,42.3812538333333,"2024-07-17 07:02:00","day","BUFFAM",19,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Run","Center",NA,"","","","Rock",NA,-72.4599145,42.3812345,"2024-07-17 07:03:00","day","BUFFAM",18,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Right",NA,"Mostly shaded","","","Boulder,Sand,Rock",NA,-72.4598406666667,42.3812855,"2024-07-17 07:05:00","day","BUFFAM",14,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Left",NA,"Mostly shaded","","Woody_debris","Rock,Pebble",NA,-72.4602795,42.3812863333333,"2024-07-17 07:08:00","day","BUFFAM",56,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Riffle","Left",NA,"Fully shaded","","","Boulder",NA,-72.4603493333333,42.381181,"2024-07-17 07:11:00","day","HARRIS",20,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Center",NA,"Mostly shaded","","","Rock",NA,-72.458466,42.3822006666667,"2024-07-17 07:45:00","day","BUFFAM",60,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Center",NA,"Lightly shaded","","","Rock,Sand,Mud",NA,-72.4597145,42.3810658333333,"2024-07-17 07:53:00","day","BUFFAM",57,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Left",NA,"Lightly shaded","","","Pebble,Rock",NA,-72.4598841666667,42.381076,"2024-07-17 07:56:00","day","BUFFAM",62,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Run","Center",NA,"Fully shaded","","","Rock",NA,-72.4599428333333,42.3813055,"2024-07-17 07:58:00","day","BUFFAM",18,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Right",NA,"Fully shaded","","","Rock",NA,-72.4599393333333,42.381292,"2024-07-17 07:59:00","day","BUFFAM",19,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Run","Center",NA,"Fully shaded","","","Rock",NA,-72.4600113333333,42.38138,"2024-07-17 08:01:00","day","BUFFAM",14,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Left",NA,"Lightly shaded","","","Rock",NA,-72.4602708333333,42.381268,"2024-07-17 08:10:00","day","BUFFAM",56,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Center",NA,"Fully shaded","","Woody_debris","Boulder,Rock",NA,-72.460503,42.3811735,"2024-07-17 08:21:00","day","HARRIS",20,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
"Pool","Left",NA,"","","Undercut_bank,Root_bundle,Woody_debris","Rock",NA,-72.4602331666667,42.3813345,"2024-07-17 08:26:00","day","BUFFAM",56,"iPad",74,"Clear","No rain","03:44","09:00","BUFF202407170440EST, HARR202407170601EST, AMTH202407170611EST","","04:40","42.1794043 N 72.4630898 W",75,"42.3807796 N 72.4584831 W",75
